"","x"
"1602","red"
"1603","magenta"
"1604","brown"
"1605","lightyellow"
"1606","green"
"1607","turquoise"
"1608","brown"
"1609","red"
"1610","darkred"
"1611","darkorange"
"1612","orange"
"1613","blue"
"1614","darkturquoise"
"1615","lightgreen"
"1616","cyan"
"1617","red"
"1618","blue"
"1619","lightyellow"
"1620","blue"
"1621","darkred"
"1622","pink"
"1623","blue"
"1624","yellow"
"1625","turquoise"
"1626","cyan"
"1627","yellow"
"1628","turquoise"
"1629","blue"
"1630","magenta"
"1631","blue"
"1632","saddlebrown"
"1633","saddlebrown"
"1634","greenyellow"
"1635","green"
"1636","turquoise"
"1637","green"
"1638","green"
"1639","green"
"1640","skyblue"
"1641","yellow"
"1642","magenta"
"1643","grey60"
"1644","yellow"
"1645","cyan"
"1646","saddlebrown"
"1647","saddlebrown"
"1648","darkgrey"
"1649","black"
"1650","blue"
"1651","blue"
"1652","blue"
"1653","red"
"1654","orange"
"1655","turquoise"
"1656","salmon"
"1657","turquoise"
"1658","pink"
"1659","darkturquoise"
"1660","turquoise"
"1661","darkturquoise"
"1662","green"
"1663","darkorange"
"1664","turquoise"
"1665","green"
"1666","yellow"
"1667","blue"
"1668","midnightblue"
"1669","tan"
